flavor,OnDemand,RAllUpfront1Y,RPartialUpfront1YUP,RPartialUpfront1YM,RNoUpfront1YM
a1.2xlarge,0.204,1051,536,0.0612,0.1285
a1.4xlarge,0.408,2102,1072,0.1224,0.257
a1.large,0.051,263,134,0.0153,0.0321
a1.medium,0.0255,131,67,0.0077,0.0161
a1.metal,0.408,2102,1072,0.122,0.257
a1.xlarge,0.102,525,268,0.0306,0.0643
c1.medium,0.13,671,405,0.032,0.091
c1.xlarge,0.52,2703,1620,0.13,0.364
c3.2xlarge,0.42,2170,1304,0.104,0.292
c3.4xlarge,0.84,4350,2608,0.209,0.584
c3.8xlarge,1.68,8691,5216,0.417,1.168
c3.large,0.105,542,326,0.026,0.073
c3.xlarge,0.21,1093,652,0.053,0.146
c4.2xlarge,0.398,2078,1060,0.121,0.252
c4.4xlarge,0.796,4146,2116,0.242,0.504
c4.8xlarge,1.591,8293,4231,0.483,1.008
c4.large,0.1,515,263,0.03,0.063
c4.xlarge,0.199,1039,530,0.06,0.126
c5.12xlarge,2.04,10508,5361,0.612,1.285
c5.18xlarge,3.06,15762,8042,0.918,1.928
c5.24xlarge,4.08,21016,10722,1.224,2.57
c5.2xlarge,0.34,1751,894,0.102,0.214
c5.4xlarge,0.68,3503,1787,0.204,0.428
c5.9xlarge,1.53,7881,4021,0.459,0.964
c5.large,0.085,438,223,0.026,0.054
c5.metal,4.08,21016,10722,1.224,2.57
c5.xlarge,0.17,876,447,0.051,0.107
c5a.12xlarge,1.848,9519,4857,0.554,1.164
c5a.16xlarge,2.464,12692,6475,0.739,1.552
c5a.24xlarge,3.696,19038,9713,1.109,2.328
c5a.2xlarge,0.308,1586,809,0.092,0.194
c5a.4xlarge,0.616,3173,1619,0.185,0.388
c5a.8xlarge,1.232,6346,3238,0.37,0.776
c5a.large,0.077,397,202,0.023,0.049
c5a.xlarge,0.154,793,405,0.046,0.097
c5ad.12xlarge,2.064,10631,5424,0.619,1.3
c5ad.16xlarge,2.752,14175,7232,0.826,1.734
c5ad.24xlarge,4.128,21263,10848,1.238,2.601
c5ad.2xlarge,0.344,1772,904,0.103,0.217
c5ad.4xlarge,0.688,3544,1808,0.206,0.433
c5ad.8xlarge,1.376,7088,3616,0.413,0.867
c5ad.large,0.086,443,226,0.026,0.054
c5ad.xlarge,0.172,886,452,0.052,0.108
c5d.12xlarge,2.304,11868,6055,0.691,1.452
c5d.18xlarge,3.456,17801,9082,1.037,2.177
c5d.24xlarge,4.608,23735,12110,1.382,2.903
c5d.2xlarge,0.384,1978,1009,0.115,0.242
c5d.4xlarge,0.768,3956,2018,0.23,0.484
c5d.9xlarge,1.728,8901,4541,0.518,1.089
c5d.large,0.096,494,252,0.029,0.06
c5d.metal,4.608,23735,12110,1.382,2.903
c5d.xlarge,0.192,989,505,0.058,0.121
c5n.18xlarge,3.888,20027,10218,1.166,2.449
c5n.2xlarge,0.432,2225,1135,0.13,0.272
c5n.4xlarge,0.864,4450,2271,0.259,0.544
c5n.9xlarge,1.944,10013,5109,0.583,1.225
c5n.large,0.108,556,284,0.032,0.068
c5n.metal,3.888,20027,10218,1.166,2.449
c5n.xlarge,0.216,1113,568,0.065,0.136
c6a.12xlarge,1.836,9930,5066,0.57834,1.21451
c6a.16xlarge,2.448,13240,6755,0.77112,1.61935
c6a.24xlarge,3.672,19860,10133,1.15668,2.42903
c6a.2xlarge,0.306,1655,844,0.09639,0.20242
c6a.32xlarge,4.896,26480,13510,1.54224,3.2387
c6a.48xlarge,7.344,39719,20265,2.31336,4.85806
c6a.4xlarge,0.612,3310,1689,0.19278,0.40484
c6a.8xlarge,1.224,6620,3378,0.38556,0.80968
c6a.large,0.0765,414,211,0.0241,0.0506
c6a.metal,7.344,39719,20265,2.31336,4.85806
c6a.xlarge,0.153,827,422,0.0482,0.10121
c6g.12xlarge,1.632,8406,4289,0.4896,1.0282
c6g.16xlarge,2.176,11208,5719,0.6528,1.3709
c6g.2xlarge,0.272,1401,715,0.0816,0.1714
c6g.4xlarge,0.544,2802,1430,0.1632,0.3427
c6g.8xlarge,1.088,5604,2859,0.3264,0.6854
c6g.large,0.068,350,179,0.0204,0.0428
c6g.medium,0.034,175,89,0.0102,0.0214
c6g.metal,2.176,11208,5719,0.6528,1.3709
c6g.xlarge,0.136,701,357,0.0408,0.0857
c6gd.12xlarge,1.8432,9494,4844,0.553,1.1612
c6gd.16xlarge,2.4576,12659,6459,0.7373,1.5483
c6gd.2xlarge,0.3072,1582,807,0.0922,0.1935
c6gd.4xlarge,0.6144,3165,1615,0.1843,0.3871
c6gd.8xlarge,1.2288,6329,3229,0.3686,0.7741
c6gd.large,0.0768,396,202,0.023,0.0484
c6gd.medium,0.0384,198,101,0.0115,0.0242
c6gd.metal,2.4576,12659,6459,0.7373,1.5483
c6gd.xlarge,0.1536,791,404,0.0461,0.0968
c6gn.12xlarge,2.0736,10700,5459,0.62322,1.30876
c6gn.16xlarge,2.7648,14267,7279,0.83096,1.74502
c6gn.2xlarge,0.3456,1783,910,0.10387,0.21813
c6gn.4xlarge,0.6912,3567,1820,0.20774,0.43625
c6gn.8xlarge,1.3824,7134,3640,0.41548,0.87251
c6gn.large,0.0864,446,227,0.02597,0.05453
c6gn.medium,0.0432,223,114,0.01298,0.02727
c6gn.xlarge,0.1728,892,455,0.05194,0.10906
c6i.12xlarge,2.04,11033,5629,0.6426,1.34946
c6i.16xlarge,2.72,14711,7506,0.8568,1.79928
c6i.24xlarge,4.08,22066,11258,1.2852,2.69892
c6i.2xlarge,0.34,1839,938,0.1071,0.22491
c6i.32xlarge,5.44,29422,15011,1.7136,3.59856
c6i.4xlarge,0.68,3678,1876,0.2142,0.44982
c6i.8xlarge,1.36,7355,3753,0.4284,0.89964
c6i.large,0.085,460,235,0.02678,0.05623
c6i.metal,5.44,29422,15011,1.7136,3.59856
c6i.xlarge,0.17,919,469,0.05355,0.11246
c6id.12xlarge,2.4192,12465,6360,0.726,1.5246
c6id.16xlarge,3.2256,16620,8480,0.968,2.0328
c6id.24xlarge,4.8384,24930,12720,1.452,3.0492
c6id.2xlarge,0.4032,2078,1060,0.121,0.2541
c6id.32xlarge,6.4512,33240,16959,1.936,4.0656
c6id.4xlarge,0.8064,4155,2120,0.242,0.5082
c6id.8xlarge,1.6128,8310,4240,0.484,1.0164
c6id.large,0.1008,519,265,0.03025,0.06353
c6id.metal,6.4512,33240,16959,1.936,4.0656
c6id.xlarge,0.2016,1039,530,0.0605,0.12705
c6in.12xlarge,2.7216,14019,7152,0.81648,1.71461
c6in.16xlarge,3.6288,18692,9536,1.08864,2.28614
c6in.24xlarge,5.4432,28037,14305,1.63296,3.42922
c6in.2xlarge,0.4536,2336,1192,0.13608,0.28577
c6in.32xlarge,7.2576,37383,19073,2.17728,4.57229
c6in.4xlarge,0.9072,4673,2384,0.27216,0.57154
c6in.8xlarge,1.8144,9346,4768,0.54432,1.14307
c6in.large,0.1134,584,298,0.03402,0.07144
c6in.metal,7.2576,37383,19073,2.17728,4.57229
c6in.xlarge,0.2268,1168,596,0.06804,0.14288
c7g.12xlarge,1.74,9375,4783,0.546,1.1466
c7g.16xlarge,2.32,12499,6377,0.728,1.5288
c7g.2xlarge,0.29,1562,797,0.091,0.1911
c7g.4xlarge,0.58,3125,1594,0.182,0.3822
c7g.8xlarge,1.16,6250,3189,0.364,0.7644
c7g.large,0.0725,391,199,0.0227,0.0478
c7g.medium,0.0363,195,100,0.0114,0.0239
c7g.metal,2.32,12499,6377,0.728,1.5288
c7g.xlarge,0.145,781,399,0.0455,0.0955
d2.2xlarge,1.38,5904,3012,0.344,0.804
d2.4xlarge,2.76,11808,6024,0.688,1.608
d2.8xlarge,5.52,23616,12048,1.376,3.216
d2.xlarge,0.69,2952,1506,0.172,0.402
d3.2xlarge,0.999,5145,2625,0.3,0.629
d3.4xlarge,1.998,10290,5250,0.599,1.259
d3.8xlarge,3.99552,20580,10500,1.19866,2.51718
d3.xlarge,0.499,2573,1313,0.15,0.315
d3en.12xlarge,6.30864,32495,16579,1.89259,3.97444
d3en.2xlarge,1.051,5416,2763,0.315,0.662
d3en.4xlarge,2.103,10832,5526,0.631,1.325
d3en.6xlarge,3.154,16248,8290,0.946,1.987
d3en.8xlarge,4.20576,21663,11053,1.26173,2.64963
d3en.xlarge,0.526,2708,1382,0.158,0.331
dl1.24xlarge,13.10904,67523,34451,3.93271,8.2587
f1.16xlarge,13.2,72971,37230,4.25,8.925
f1.2xlarge,1.65,9121,4654,0.531,1.116
f1.4xlarge,3.3,18242,9307,1.062,2.231
g2.2xlarge,0.65,3478,2306,0.142,0.474
g2.8xlarge,2.6,13912,9224,0.568,1.896
g3.16xlarge,4.56,25445,12982,1.482,3.1122
g3.4xlarge,1.14,6361,3246,0.3705,0.7781
g3.8xlarge,2.28,12723,6491,0.741,1.5561
g3s.xlarge,0.75,4507,2300,0.263,0.551
g4ad.16xlarge,3.468,17863,9114,1.0404,2.18484
g4ad.2xlarge,0.54117,2787,1422,0.16235,0.34094
g4ad.4xlarge,0.867,4466,2278,0.2601,0.54621
g4ad.8xlarge,1.734,8932,4557,0.5202,1.09242
g4ad.xlarge,0.37853,1950,995,0.11356,0.23847
g4dn.12xlarge,3.912,20150,10281,1.174,2.465
g4dn.16xlarge,4.352,22417,11437,1.306,2.742
g4dn.2xlarge,0.752,3873,1976,0.226,0.474
g4dn.4xlarge,1.204,6202,3164,0.361,0.759
g4dn.8xlarge,2.176,11208,5719,0.653,1.371
g4dn.metal,7.824,40300,20561,2.347,4.929
g4dn.xlarge,0.526,2709,1382,0.158,0.331
g5.12xlarge,5.672,29216,14906,1.7016,3.57336
g5.16xlarge,4.096,21098,10764,1.2288,2.58048
g5.24xlarge,8.144,41949,21402,2.4432,5.13072
g5.2xlarge,1.212,6243,3185,0.3636,0.76356
g5.48xlarge,16.288,83898,42805,4.8864,10.26144
g5.4xlarge,1.624,8365,4268,0.4872,1.02312
g5.8xlarge,2.448,12609,6433,0.7344,1.54224
g5.xlarge,1.006,5182,2644,0.3018,0.63378
g5g.16xlarge,2.744,14134,7211,0.8232,1.7287
g5g.2xlarge,0.556,2864,1461,0.1668,0.3503
g5g.4xlarge,0.828,4265,2176,0.2484,0.5216
g5g.8xlarge,1.372,7067,3606,0.4116,0.8644
g5g.metal,2.744,14134,7211,0.8232,1.7287
g5g.xlarge,0.42,2163,1104,0.126,0.2646
h1.16xlarge,3.744,20804,10614,1.212,2.545
h1.2xlarge,0.468,2601,1327,0.151,0.318
h1.4xlarge,0.936,5201,2654,0.303,0.636
h1.8xlarge,1.872,10402,5307,0.606,1.272
i2.2xlarge,1.705,6237,3640,0.311,0.848
i2.4xlarge,3.41,12465,7280,0.621,1.696
i2.8xlarge,6.82,24931,14560,1.242,3.392
i2.xlarge,0.853,3114,1820,0.155,0.424
i3.16xlarge,4.992,27856,14212,1.622,3.427
i3.2xlarge,0.624,3482,1777,0.203,0.428
i3.4xlarge,1.248,6964,3553,0.406,0.857
i3.8xlarge,2.496,13928,7106,0.811,1.714
i3.large,0.156,870,444,0.051,0.107
i3.metal,4.992,27856,14212,1.622,3.427
i3.xlarge,0.312,1741,888,0.101,0.214
i3en.12xlarge,5.424,30202,15409,1.759,3.694
i3en.24xlarge,10.848,60405,30819,3.518,7.388
i3en.2xlarge,0.904,5034,2568,0.293,0.616
i3en.3xlarge,1.356,7551,3852,0.44,0.924
i3en.6xlarge,2.712,15101,7705,0.88,1.847
i3en.large,0.226,1258,642,0.073,0.154
i3en.metal,10.848,60405,30819,3.518,7.388
i3en.xlarge,0.452,2517,1284,0.147,0.308
i4i.16xlarge,5.491,29133,14864,1.697,3.563
i4i.2xlarge,0.686,3642,1858,0.212,0.445
i4i.32xlarge,10.9824,58267,29728,3.3936,7.12656
i4i.4xlarge,1.373,7283,3716,0.424,0.891
i4i.8xlarge,2.746,14567,7432,0.848,1.782
i4i.large,0.172,910,464,0.053,0.111
i4i.metal,10.982,58267,29728,3.394,7.127
i4i.xlarge,0.343,1821,929,0.106,0.223
im4gn.16xlarge,5.82067,30521,15572,1.7776,3.73296
im4gn.2xlarge,0.72758,3815,1946,0.2222,0.46662
im4gn.4xlarge,1.45517,7630,3893,0.4444,0.93324
im4gn.8xlarge,2.91034,15260,7786,0.8888,1.86648
im4gn.large,0.1819,954,487,0.05555,0.11665
im4gn.xlarge,0.36379,1908,973,0.1111,0.23331
inf1.24xlarge,4.721,24319,12408,1.416,2.974
inf1.2xlarge,0.362,1865,951,0.109,0.228
inf1.6xlarge,1.18,6080,3102,0.354,0.744
inf1.xlarge,0.228,1175,600,0.068,0.144
is4gen.2xlarge,1.1526,6427,3279,0.37434,0.78611
is4gen.4xlarge,2.3052,12855,6558,0.74868,1.57223
is4gen.8xlarge,4.6104,25709,13117,1.49736,3.14446
is4gen.large,0.28815,1607,820,0.09358,0.19653
is4gen.medium,0.14408,803,410,0.04679,0.09826
is4gen.xlarge,0.5763,3214,1640,0.18717,0.39306
m1.large,0.175,835,493,0.041,0.112
m1.medium,0.087,413,247,0.02,0.056
m1.xlarge,0.35,1671,987,0.082,0.224
m2.2xlarge,0.49,1632,947,0.082,0.222
m2.4xlarge,0.98,3255,1894,0.163,0.444
m2.xlarge,0.245,815,473,0.041,0.111
m3.2xlarge,0.532,2840,1683,0.139,0.38
m3.large,0.133,713,421,0.035,0.095
m3.medium,0.067,353,211,0.017,0.048
m3.xlarge,0.266,1428,842,0.07,0.19
m4.10xlarge,2,10130,5168,0.59,1.239
m4.16xlarge,3.2,16208,8269,0.944,1.9824
m4.2xlarge,0.4,2026,1034,0.118,0.2478
m4.4xlarge,0.8,4052,2067,0.236,0.4956
m4.large,0.1,507,258,0.0295,0.062
m4.xlarge,0.2,1013,517,0.059,0.1239
m5.12xlarge,2.304,11868,6055,0.691,1.452
m5.16xlarge,3.072,15824,8073,0.922,1.935
m5.24xlarge,4.608,23735,12110,1.382,2.903
m5.2xlarge,0.384,1978,1009,0.115,0.242
m5.4xlarge,0.768,3956,2018,0.23,0.484
m5.8xlarge,1.536,7912,4037,0.461,0.968
m5.large,0.096,494,252,0.029,0.06
m5.metal,4.608,23735,12110,1.382,2.903
m5.xlarge,0.192,989,505,0.058,0.121
m5a.12xlarge,2.064,10631,5424,0.619,1.3
m5a.16xlarge,2.752,14175,7232,0.826,1.734
m5a.24xlarge,4.128,21263,10848,1.238,2.601
m5a.2xlarge,0.344,1772,904,0.103,0.217
m5a.4xlarge,0.688,3544,1808,0.206,0.433
m5a.8xlarge,1.376,7088,3616,0.413,0.867
m5a.large,0.086,443,226,0.026,0.054
m5a.xlarge,0.172,886,452,0.052,0.108
m5ad.12xlarge,2.472,12733,6496,0.742,1.557
m5ad.16xlarge,3.296,16977,8662,0.989,2.076
m5ad.24xlarge,4.944,25466,12993,1.483,3.115
m5ad.2xlarge,0.412,2122,1083,0.124,0.26
m5ad.4xlarge,0.824,4244,2165,0.247,0.519
m5ad.8xlarge,1.648,8489,4331,0.494,1.038
m5ad.large,0.103,531,271,0.031,0.065
m5ad.xlarge,0.206,1061,541,0.062,0.13
m5d.12xlarge,2.712,13969,7127,0.814,1.709
m5d.16xlarge,3.616,18626,9503,1.085,2.278
m5d.24xlarge,5.424,27938,14254,1.627,3.417
m5d.2xlarge,0.452,2328,1188,0.136,0.285
m5d.4xlarge,0.904,4656,2376,0.271,0.57
m5d.8xlarge,1.808,9313,4751,0.542,1.139
m5d.large,0.113,582,297,0.034,0.071
m5d.metal,5.424,27938,14254,1.627,3.417
m5d.xlarge,0.226,1164,594,0.068,0.142
m5dn.12xlarge,3.264,16812,8578,0.979,2.056
m5dn.16xlarge,4.352,22417,11437,1.306,2.742
m5dn.24xlarge,6.528,33625,17156,1.958,4.113
m5dn.2xlarge,0.544,2802,1430,0.163,0.343
m5dn.4xlarge,1.088,5604,2859,0.326,0.685
m5dn.8xlarge,2.176,11208,5719,0.653,1.371
m5dn.large,0.136,701,357,0.041,0.086
m5dn.metal,6.528,33625,17156,1.958,4.113
m5dn.xlarge,0.272,1401,715,0.082,0.171
m5n.12xlarge,2.856,14711,7506,0.857,1.799
m5n.16xlarge,3.808,19615,10007,1.142,2.399
m5n.24xlarge,5.712,29422,15011,1.714,3.599
m5n.2xlarge,0.476,2452,1251,0.143,0.3
m5n.4xlarge,0.952,4904,2502,0.286,0.6
m5n.8xlarge,1.904,9807,5004,0.571,1.2
m5n.large,0.119,613,313,0.036,0.075
m5n.metal,5.712,29422,15011,1.714,3.599
m5n.xlarge,0.238,1226,625,0.071,0.15
m5zn.12xlarge,3.9641,20419,10418,1.1892,2.4974
m5zn.2xlarge,0.6607,3403,1736,0.1982,0.4162
m5zn.3xlarge,0.991,5105,2604,0.2973,0.6243
m5zn.6xlarge,1.982,10209,5209,0.5946,1.2487
m5zn.large,0.1652,851,434,0.0496,0.1041
m5zn.metal,3.9641,20419,10418,1.1892,2.4974
m5zn.xlarge,0.3303,1702,868,0.0991,0.2081
m6a.12xlarge,2.0736,11215,5722,0.65318,1.37169
m6a.16xlarge,2.7648,14953,7629,0.87091,1.82892
m6a.24xlarge,4.1472,22430,11444,1.30637,2.74337
m6a.2xlarge,0.3456,1869,954,0.10886,0.22861
m6a.32xlarge,5.5296,29906,15258,1.74182,3.65783
m6a.48xlarge,8.2944,44860,22888,2.61274,5.48675
m6a.4xlarge,0.6912,3738,1907,0.21773,0.45723
m6a.8xlarge,1.3824,7477,3815,0.43546,0.91446
m6a.large,0.0864,467,238,0.02722,0.05715
m6a.metal,8.2944,44860,22888,2.61274,5.48675
m6a.xlarge,0.1728,935,477,0.05443,0.11431
m6g.12xlarge,1.848,9478,4835,0.552,1.1592
